source,url,name,price,change_abs,change_pct,datetime_str,captured_at_utc,captured_at_local
it.investing.com,https://it.investing.com/etfs/lyxor-msci-world-info-tech-tr?cid=47228,Amundi MSCI World Information Technology UCITS ETF EUR Acc (LTNOW),"996,61","+12,48","+1,27%",,2025-11-12 11:50:20,2025-11-12 11:50:20
it.investing.com,https://it.investing.com/etfs/xtrackers-ai-and-big-data-ucits?cid=1178262,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C (XAIX),"158,70","+1,54","+0,98%",,2025-11-12 11:50:20,2025-11-12 11:50:20
