source,url,name,price,change_abs,change_pct,captured_at_local
it.investing.com,https://it.investing.com/etfs/lyxor-msci-world-info-tech-tr?cid=47228,Amundi MSCI World Information Technology UCITS ETF EUR Acc (LTNOW),"998,81","+14,68","+1,49%",2025-11-12 14:39:03
it.investing.com,https://it.investing.com/etfs/xtrackers-ai-and-big-data-ucits?cid=1178262,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C (XAIX),"158,93","+1,77","+1,13%",2025-11-12 14:39:09
